train_regime,test_regime,variant,event,rmse,mae,n
2011,2018,treatment,hss_event,79.74760874403059,63.33258663988304,3251
2011,2018,treatment,non_event,59.31110701380448,48.03087552954008,5509
2011,2019,control,hss_event,88.37680074789408,69.41831909493091,3116
2011,2019,control,non_event,53.770205972443044,44.05758631305438,5644
2011,2019,treatment,hss_event,85.42863264496107,66.62262331138679,3116
2011,2019,treatment,non_event,52.008724520907194,41.81189799156703,5644
2011,2020,control,hss_event,80.65105083458305,58.25140128412431,2998
2011,2020,control,non_event,79.47478295688653,72.17536641452867,5786
2011,2020,treatment,hss_event,75.08945507898989,54.25498691632638,2998
2011,2020,treatment,non_event,81.3360769457711,74.50221012984433,5786
2012,2010,control,hss_event,101.91288573262582,82.97924849389305,1775
2012,2010,control,non_event,70.99237961197042,59.55106176474519,3361
2012,2010,treatment,hss_event,101.93150733635372,83.98378182424626,1775
2012,2010,treatment,non_event,72.68869452578419,60.20662300815826,3361
2012,2011,control,hss_event,98.5385492817149,73.40392189961364,1835
2012,2011,control,non_event,84.12856448861412,67.37938475681126,6925
2012,2011,treatment,hss_event,90.8686657728765,66.9654451209128,1835
2012,2011,treatment,non_event,85.79997516371336,68.83731110390343,6925
2012,2013,control,hss_event,79.30975502872212,62.81205644716705,1922
2012,2013,control,non_event,86.69498323175635,70.30733258669261,6725
2012,2013,treatment,hss_event,84.11714859490844,66.27738428661652,1922
2012,2013,treatment,non_event,85.62981450191201,69.30519600680327,6725
2012,2014,control,hss_event,87.46497646314263,59.35946740204433,2120
2012,2014,control,non_event,70.63648806774906,56.119058572240625,6640
2012,2014,treatment,hss_event,86.76905967677769,59.383694386032396,2120
2012,2014,treatment,non_event,69.7873157265284,54.70331911753459,6640
2012,2015,control,hss_event,110.28084851087665,88.10121447328389,1836
2012,2015,control,non_event,83.00074693226918,64.69722760584504,6924
2012,2015,treatment,hss_event,108.99091394230118,87.47375644525931,1836
2012,2015,treatment,non_event,82.25746443277085,64.43070231525282,6924
2012,2016,control,hss_event,95.5712985363808,75.45474299469558,3252
2012,2016,control,non_event,79.73468870177118,62.92216035666598,5377
2012,2016,treatment,hss_event,91.91630205857861,72.00180948029879,3252
2012,2016,treatment,non_event,84.20110928800048,67.2284008194262,5377
2012,2017,control,hss_event,106.25047594104184,87.11131724571766,3843
2012,2017,control,non_event,82.81444492089138,64.320708719579,4917
2012,2017,treatment,hss_event,103.870700730568,84.54610338094425,3843
2012,2017,treatment,non_event,84.44923951672907,65.40526595861417,4917
2012,2018,control,hss_event,81.22384185582364,64.11793174027883,3251
2012,2018,control,non_event,65.77792177069067,54.97051691182362,5509
2012,2018,treatment,hss_event,76.52163828230707,61.614919652501754,3251
2012,2018,treatment,non_event,69.05427959993952,56.9578972811447,5509
2012,2019,control,hss_event,81.05557153407051,62.48295798932175,3116
2012,2019,control,non_event,54.1354016164983,44.42721152626648,5644
2012,2019,treatment,hss_event,76.45570815031738,59.147382743551425,3116
2012,2019,treatment,non_event,58.456210428465695,48.5247823767929,5644
2012,2020,control,hss_event,84.43065276344214,60.56940076953972,2998
2012,2020,control,non_event,80.81431181839747,73.69465280658763,5786
2012,2020,treatment,hss_event,85.1582307037918,61.00840515991781,2998
2012,2020,treatment,non_event,77.5164878635956,70.57599523592441,5786
2013,2010,control,hss_event,113.347349358304,94.16423130089129,1775
2013,2010,control,non_event,58.5730470382255,47.18723385875263,3361
2013,2010,treatment,hss_event,112.38333943672066,94.25955048896897,1775
2013,2010,treatment,non_event,61.048635461788386,47.53373718715714,3361
2013,2011,control,hss_event,98.03771778537724,77.44198902764177,1835
2013,2011,control,non_event,75.36610527540675,55.65078048761141,6925
2013,2011,treatment,hss_event,100.23757780097017,79.51245955381471,1835
2013,2011,treatment,non_event,74.55593370188377,55.00407356124492,6925
2013,2012,control,hss_event,78.24326498009856,60.954421160172444,1568
2013,2012,control,non_event,78.26688613293642,57.80149546113617,7216
2013,2012,treatment,hss_event,73.82369904663726,56.735989590080415,1568
2013,2012,treatment,non_event,79.33875776691244,60.17333710325795,7216
2013,2014,control,hss_event,86.40839846729561,58.254181008968715,2120
2013,2014,control,non_event,71.00951214600872,55.32667700985828,6640
2013,2014,treatment,hss_event,88.20781201494113,59.21070280255012,2120
2013,2014,treatment,non_event,70.5275984882123,54.4979105754071,6640
2013,2015,control,hss_event,117.63567664708972,94.63805640393093,1836
